ASIN,产品名称,评论数,star,品牌词,关键词1(品牌+产品),关键词2(品牌+型号),搜索量/月,CPC最低,CPC最高
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager,RENPHO Foot,6000,2.5,4.0
B0CQ2QHHG9,RENPHO Leg Massager with Heat,7235,4.0,RENPHO,RENPHO Leg Massager,RENPHO Leg,6000,2.5,4.0
B0CGPS5KGC,RENPHO Thermacool Massage Gun,3971,4.7,RENPHO,RENPHO Thermacool Massage,RENPHO Thermacool,6000,2.5,4.0
B0DCTS4KLS,Dog Grass Large Potty Patch,2489,4.0,Dog Grass,Dog Grass Large Potty Patch,Dog Grass Large,300,1.0,2.0
B07ZJND4FS,Custom Coat GM White Urethane,1954,4.6,Custom Coat,Custom Coat GM White,Custom Coat GM,800,2.0,3.0
B0CVQVC17N,FORM 36 Volt Golf Cart Battery Charger,1825,4.6,FORM,FORM 36 Volt,FORM 36,1500,2.5,4.0
B0CLNT8Y2G,ALLWEI LiFePO4 Portable Power Station,1730,4.5,ALLWEI,ALLWEI LiFePO4 Portable,ALLWEI LiFePO4,2000,4.0,6.0
B0CQYM4ML1,ALLWEI LiFePO4 Portable Power Station 24,1729,4.5,ALLWEI,ALLWEI LiFePO4 Portable,ALLWEI LiFePO4,2000,4.0,6.0
B01N2LP1I0,DELIE 010 High Compression Girdle,1625,4.2,DELIE,DELIE 010 High,DELIE 010,400,1.5,2.5
B085QKQ3HD,GROWNSY UV Sanitizer and Dryer,1435,4.5,GROWNSY,GROWNSY UV Sanitizer,GROWNSY UV,500,2.0,3.0
B0CTXXZSML,RENPHO Foot Massager with Heat,1429,4.5,RENPHO,RENPHO Foot Massager,RENPHO Foot,6000,2.5,4.0
B099GP11JW,Emraw Quad Ruled Notebook Spiral,1295,4.6,Emraw,Emraw Quad Ruled Notebook,Emraw Quad,500,3.0,5.0
B0B76QSBSY,Lumos Ultra Smart Bike Helmet Customize,1202,4.6,Lumos,Lumos Ultra Smart,Lumos Ultra,1000,3.0,4.5
B07MCM8NQY,Valera 70in Green Screen Backdrop,710,4.3,Valera,Valera 70in Green Screen,Valera 70in,600,2.0,3.0
B07WX6MCGD,mifo 2021 Upgraded Version O5 True Wireless E,722,4.0,mifo,mifo 2021 Upgraded Version,mifo 2021,800,2.5,3.5
B0CN6962N1,Heavy Duty Fire Pit Tools Set,613,4.8,Heavy,Heavy Duty Fire Pit Tools,Heavy Duty Fire,500,3.0,5.0
B09GNX8GGT,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart,Xtreme Mats Golf,800,2.0,3.0
B086DCVHQD,Open Goal Soccer Rebounder Goal Backst,551,4.3,Open Goaaal,Open Goaaal Open Goal,Open Goal Soccer,2000,2.5,4.0
B0CVQVGZX5,FORM 48 Volt Golf Cart Battery Charger,836,4.5,FORM,FORM 48 Volt,FORM 48,1500,2.5,4.0
B01N45MSAV,DELIE Faja Colombiana 021 High Compression,202,4.1,DELIE,DELIE Faja Colombiana,DELIE Faja,400,1.5,2.5
B0C42GHHCJ,Aiwa Portable Boombox Crystal Clear Sound,396,4.1,Aiwa,Aiwa Portable Boombox Crystal,Aiwa Portable,1000,2.0,3.5
B0CVQVLC8L,FORM 48 Volt Golf Cart Battery Charger,516,4.4,FORM,FORM 48 Volt,FORM 48,1500,2.5,4.0
B07H23Z7XT,Berkling Tools 7102 Compact Low Vibration,148,4.3,Berkling Tools,Berkling Tools 7102 Compact Low,Berkling Tools 7102,300,2.0,3.0
B097C6HN17,GAMMA+ X-Evo Trimmer Microchipped Magnetic,154,4.0,GAMMA+,GAMMA+ X-Evo Trimmer Microchipped,GAMMA+ X-Evo,600,3.0,4.5
B07F1SCZ39,Large Smart Hydroponics Growing System,358,4.0,Large,Smart Hydroponics Large Growing System,Smart Hydroponics Large,500,3.0,5.0
B09TJZSFJ9,WYRESTORM 4K Webcam with AI Tracking,106,4.1,WYRESTORM,WYRESTORM 4K Webcam AI,WYRESTORM 4K,400,2.5,3.5
B086QJVHVD,ULTRALOQ Smart Lock U-Bolt Pro with WiFi,128,4.4,ULTRALOQ,ULTRALOQ Smart Lock,ULTRALOQ Smart,1200,3.5,5.0
B0DBHKHPDX,DC HOUSE 48V 100Ah Lithium Golf Cart Battery,181,4.5,DC HOUSE,DC HOUSE 48V 100Ah,DC HOUSE 48V,500,2.5,4.0
B0BQFWJ9JJ,ALLWEI LiFePO4 Solar Generator 2400W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar,ALLWEI LiFePO4,2000,4.0,6.0
B0CZ3T561W,ALLWEI LiFePO4 Solar Generator 1200W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar,ALLWEI LiFePO4,2000,4.0,6.0
B0BQFXVGNZ,ALLWEI LiFePO4 Solar Generator 2400W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar,ALLWEI LiFePO4,2000,4.0,6.0
B0CRLCHMDF,Open Goaaal Soccer Goal Net Soccer Backst,557,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,2000,2.5,4.0
B085QNDTMC,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,2000,2.5,4.0
B0CRLYVD9J,Lumos Ultra Fly Pro Road Bike Helmet,344,4.5,Lumos,Lumos Ultra Fly,Lumos Ultra,1000,3.0,4.5
B08LLFRJ1R,GAMMA+ Absolute Hitter Professional Cordless,319,4.1,GAMMA+,GAMMA+ Absolute Hitter Professional,GAMMA+ Absolute,600,3.0,4.5
B0DBLBW268,Yaber K3 Projector 1600 ANSI Smart Projector,270,4.3,Yaber,Yaber K3 Projector,Yaber K3,1500,4.5,6.5
B0B31HR98C,ZAFRO 45 Pints Dehumidifier for Home,250,4.2,ZAFRO,ZAFRO 45 Pints,ZAFRO 45,400,1.5,2.5
B0CXBRXD4G,PIURIFY Hydrogen Water Bottle Food Grade,124,4.5,PIURIFY,PIURIFY Hydrogen Water,PIURIFY Hydrogen,300,2.0,3.0
B0BH9B8NMF,Custom Coat Camouflage Series 3 Ounce,483,4.6,Custom Coat,Custom Coat Camouflage Series,Custom Coat Camouflage,800,2.0,3.0
B094YKL3GG,Custom Shop Premium Gray Self Etching Primer,192,4.6,Custom Shop,Custom Shop Premium Gray,Custom Shop Premium,600,1.5,2.5
B07PW96DP4,Custom Shop Black Epoxy Primer Sealer,491,4.0,Custom Shop,Custom Shop Black Epoxy,Custom Shop Black,600,1.5,2.5
B089JGWDHK,Custom Shop Barrier Bond Black Rubberize,104,4.4,Custom Shop,Custom Shop Barrier Bond,Custom Shop Barrier,600,1.5,2.5
B07KPNK69R,Open Goaaal Soccer Rebounder Goal Backst,558,4.3,Open Goaaal,Open Goaaal Soccer Rebounder,Open Goaaal Soccer,2000,2.5,4.0
B0CWSCD9C9,FORM 48 Volt Golf Cart Battery Charger,262,4.6,FORM,FORM 48 Volt,FORM 48,1500,2.5,4.0
B0D9C1PTFT,FORM 48 Volt Golf Cart Battery Charger,171,4.5,FORM,FORM 48 Volt,FORM 48,1500,2.5,4.0
B079THJH1W,Open Goaaal Soccer Rebounder Goal Backst,559,4.3,Open Goaaal,Open Goaaal Soccer Rebounder,Open Goaaal Soccer,2000,2.5,4.0
B079THZYKF,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,2000,2.5,4.0
B085RHRC26,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,2000,2.5,4.0
B085QNYKK5,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,2000,2.5,4.0
B091BHSY2Q,Xtreme Mats Full Coverage Rubber Golf Cart Ma,823,4.8,Xtreme Mats,Xtreme Mats Full Coverage,Xtreme Mats Full,800,2.0,3.0
B08FJHPJ23,Xtreme Mats Full Coverage Rubber Golf Cart Ma,823,4.8,Xtreme Mats,Xtreme Mats Full Coverage,Xtreme Mats Full,800,2.0,3.0
B08FJJB42G,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart,Xtreme Mats Golf,800,2.0,3.0
B08FJGS2W7,Xtreme Mats Golf Cart Floor Mat,822,4.8,Xtreme Mats,Xtreme Mats Golf Cart,Xtreme Mats Golf,800,2.0,3.0
B09T8PLXZZ,Xtreme Mats Full Coverage Rubber Golf Mat,822,4.8,Xtreme Mats,Xtreme Mats Full Coverage,Xtreme Mats Full,800,2.0,3.0
